date,shards-total,shards-successful,shards-failed,total-store,chunks-latest,chunks,coordinates-latest,coordinates,meta
2019-02-17T06:30:25.944Z,50,25,0,180554082,1466933,60299625,262801,118517910,6813
2019-02-17T06:35:25.968Z,50,25,0,204480439,1458950,83420399,257103,119337174,6813
2019-02-17T06:40:26.029Z,50,25,0,183641927,1555316,60750092,257103,121072603,6813
2019-02-17T06:45:26.099Z,50,25,0,188824186,1464085,61096097,268978,125988213,6813
2019-02-17T06:50:26.035Z,50,25,0,187522174,1477477,61318088,262619,124457177,6813
2019-02-17T06:55:26.032Z,50,25,0,188339120,1530143,61638261,263459,124900444,6813
2019-02-17T07:00:25.959Z,50,25,0,189519259,1563912,61874023,268128,125806383,6813
2019-02-17T07:05:26.100Z,50,25,0,191763324,1505521,62105182,262611,127883197,6813
2019-02-17T07:10:26.070Z,50,25,0,191375720,1425295,62372694,268973,127301945,6813
2019-02-17T07:15:25.900Z,50,25,0,214880939,1740485,86360159,257100,126516382,6813
2019-02-17T07:20:25.861Z,50,25,0,210563785,1703051,84863921,257098,123732902,6813
2019-02-17T07:25:25.853Z,50,25,0,219051057,1569155,87068174,257228,130149687,6813
2019-02-17T07:30:25.851Z,50,25,0,223909254,1863685,87588483,257099,134193174,6813
2019-02-17T07:35:25.844Z,50,25,0,196231856,1509012,63676745,257094,130782192,6813
2019-02-17T07:40:26.125Z,50,25,0,220575766,1725235,86177981,262607,132403130,6813
2019-02-17T07:45:25.985Z,50,25,0,200737160,1488326,64232521,257098,134752402,6813
2019-02-17T07:50:26.018Z,50,25,0,203437548,1495191,64571841,263462,137100241,6813
2019-02-17T07:55:26.042Z,50,25,0,223901188,1579872,94720445,264574,127329484,6813
2019-02-17T08:00:25.929Z,50,25,0,194555236,1560410,64999148,257106,127731759,6813
2019-02-17T08:05:25.916Z,50,25,0,195364992,1519944,65229349,257105,128351781,6813
2019-02-17T08:10:25.919Z,50,25,0,196247316,1525442,65615174,257099,128842788,6813
2019-02-17T08:15:25.957Z,50,25,0,196978404,1480094,65846356,257105,129388036,6813
2019-02-17T08:20:25.952Z,50,25,0,210657441,1740972,78740748,257105,129911803,6813
2019-02-17T08:25:25.995Z,50,25,0,198686682,1523039,66367054,257100,130532676,6813
2019-02-17T08:30:26.024Z,50,25,0,200348314,1500301,66641605,257095,131942500,6813
2019-02-17T08:35:25.974Z,50,25,0,200289643,1537588,66912808,257097,131575337,6813
2019-02-17T08:40:25.982Z,50,25,0,202068913,1508582,67214002,257094,133082422,6813
2019-02-17T08:45:25.886Z,50,25,0,235537169,1536557,99313010,263840,134416949,6813
2019-02-17T08:50:25.911Z,50,25,0,202877122,1575840,67759911,263456,133271102,6813
2019-02-17T08:55:25.866Z,50,25,0,232697558,1695972,96936817,257100,133800856,6813
2019-02-17T09:00:25.867Z,50,25,0,237763546,1576211,101539753,257105,134383664,6813
2019-02-17T09:05:25.880Z,50,25,0,243331332,1572054,106630444,257099,134864922,6813
2019-02-17T09:10:25.929Z,50,25,0,245184120,2036725,106325161,257094,136558327,6813
2019-02-17T09:15:26.062Z,50,25,0,214214551,1492754,69175151,265491,143274342,6813
2019-02-17T09:20:26.160Z,50,25,0,214897765,1525923,69336682,263464,143764883,6813
2019-02-17T09:25:26.102Z,50,25,0,220093013,1534463,79190195,263459,139098083,6813
2019-02-17T09:30:26.112Z,50,25,0,214639156,1495430,69839627,263464,143033822,6813
2019-02-17T09:35:26.113Z,50,25,0,253226191,1861829,110329673,268130,140759746,6813
2019-02-17T09:40:26.033Z,50,25,0,220435226,1535555,70472612,262614,148157632,6813
2019-02-17T09:45:26.045Z,50,25,0,221547913,1490378,70687479,257544,149105699,6813
2019-02-17T09:50:26.216Z,50,25,0,237543312,1543251,93408977,262615,142321656,6813
2019-02-17T09:55:25.961Z,50,25,0,216079043,1543148,71271724,257102,143000256,6813
2019-02-17T10:00:26.071Z,50,25,0,250019652,1719944,98831012,257102,149204781,6813
2019-02-17T10:05:25.899Z,50,25,0,243438197,1832306,98701104,257102,142640872,6813
2019-02-17T10:10:25.898Z,50,25,0,230613018,1675391,85827216,263457,142840141,6813
2019-02-17T10:15:25.891Z,50,25,0,260450325,1644644,113698725,268121,144832022,6813
2019-02-17T10:20:25.912Z,50,25,0,251790674,1830043,100327237,265893,149360688,6813
2019-02-17T10:25:25.900Z,50,25,0,224406038,1526079,72846313,264194,149762639,6813
2019-02-17T10:30:25.972Z,50,25,0,219013144,1514122,73219767,257093,144015349,6813
2019-02-17T10:35:25.985Z,50,25,0,219722693,1541710,73383413,257093,144533664,6813
2019-02-17T10:40:26.334Z,50,25,0,266957650,1581425,112766918,257096,152345398,6813
2019-02-17T10:45:25.974Z,50,25,0,228961420,1540670,74001443,257097,153155397,6813
2019-02-17T10:50:26.131Z,50,25,0,275421010,1520205,116745793,257101,156891098,6813
2019-02-17T10:55:26.069Z,50,25,0,223071268,1529550,74562462,257106,146715337,6813
2019-02-17T11:00:26.024Z,50,25,0,223697522,1476532,74786959,257107,147170111,6813
2019-02-17T11:05:26.257Z,50,25,0,257601553,1688245,102867356,257106,152782033,6813
2019-02-17T11:10:26.144Z,50,25,0,228553834,1484973,75282407,268130,151511511,6813
2019-02-17T11:15:26.272Z,50,25,0,235920838,1517070,75554046,268973,158573936,6813
2019-02-17T11:20:25.934Z,50,25,0,249785038,1507650,90437898,257101,157575576,6813
2019-02-17T11:25:25.919Z,50,25,0,279823965,1541270,119790146,257100,158228636,6813
2019-02-17T11:30:25.930Z,50,25,0,276348275,1684531,120219400,263075,154174456,6813
